# log_X, log_likelihood, tiebreaker, accepts, tries, exceeds, visits
0 -1.79769313486e+308 0 37946 40048 9827 28252
-1.03242429417 -2601.94788845 0.412845900652 35411 39982 14137 36558
-1.99988973363 -1910.91863229 0.0838349373845 33890 40030 14502 41490
-3.03412462056 -1822.75507763 0.534639259199 32612 40138 14912 42433
-4.06499658445 -1814.88165517 0.302716413478 30601 40092 14968 44211
-5.12143761855 -1814.05687584 0.148889641426 27840 39936 16101 45015
-6.14081894209 -1812.37303044 0.476232310868 26433 39759 15923 47414
-7.20405173793 -1808.97193002 0.670422725044 25928 39672 18086 45226
-8.14544610175 -1804.15931573 0.313397598166 25206 39561 17436 47642
-9.14909008908 -1797.21983272 0.87311142358 24627 39220 16317 43859
-10.1413653456 -1788.67895857 0.225187802225 23614 39267 15557 42999
-11.1527104246 -1779.3679226 0.121618060059 22742 39561 14665 42044
-12.1884855441 -1770.54355993 0.296446764397 21353 39635 0 0
