# log_X, log_likelihood, tiebreaker, accepts, tries, exceeds, visits
0 -1.79769313486e+308 0 29521 31116 6026 19245
-1.07579480587 -287.410939735 0.00488580009228 27486 31190 8557 24110
-2.09524509537 -192.146711276 0.753515459383 25837 31286 9375 27084
-3.12982009151 -183.223824417 0.204007688462 24690 31352 9162 28075
-4.19803550482 -181.008927256 0.490602447073 23428 31370 10793 27744
-5.16518590716 -180.490995829 0.184272140465 22361 31315 10060 30666
-6.23296043378 -180.330191371 0.247416534189 21055 31358 10606 30578
-7.26813026687 -180.288879406 0.880996251978 19511 31274 9299 33828
-8.44111818147 -180.271286359 0.489571632296 16582 31380 12017 33566
-9.45807036692 -180.251845893 0.000574923706369 15315 31440 12646 38607
-10.5330128117 -180.22981122 0.0177158009955 15088 31384 10484 39665
-11.7402262127 -180.197428048 0.529956320804 15586 31562 11537 39532
-12.8878646204 -180.158903465 0.39221146711 15948 31547 12316 34186
-13.9010101255 -180.11522539 0.099950185214 16085 31627 11687 32821
-14.9211359544 -180.076762416 0.82163594036 16084 31738 13435 31563
-15.8293436988 -180.047145717 0.97058906821 15620 31726 15122 35052
-16.7250141578 -180.02302922 0.420442247291 15101 31751 13863 38231
-17.7344601355 -179.99935614 0.879013057414 14697 31690 13801 37358
-18.7317265497 -179.980761915 0.73333602015 13912 31732 13614 39529
-19.7750215299 -179.96402216 0.899404095876 13762 31878 14739 40759
-20.7865135046 -179.950453452 0.333421747698 13691 32048 13370 42458
-21.8895422291 -179.935920378 0.417597916732 13266 32086 9973 41018
-23.1482380515 -179.922753568 0.866947205031 13004 32125 11479 39294
-24.2949449795 -179.91201694 0.0811536445784 12665 32198 13158 36880
-25.3147037374 -179.902619229 0.997182062317 12432 32228 16208 37556
-26.2076745771 -179.894661908 0.192423415826 12385 32078 17121 38178
-27.0733830436 -179.886708213 0.151377545564 12186 31892 17155 36251
-27.9040200472 -179.878306383 0.880722995028 12316 31965 16641 36540
-28.7609733698 -179.869461182 0.759606531988 12371 32074 0 0
